prompt,text,rejected_text
[閒聊] 小美老師如是說 35 又偷做菜,"



東立電子書














聖誕節，小美代邀請兩位老師朋友到家裡享受了豐盛的大餐



沒想到三個女生居然能把火雞嗑完 (伊胡里貢獻估計過半戰力)

小美代：誰跟你單身.....


最屌的是，整頓大餐其實是師丈先幫忙八成的，小美代只負責加熱收尾

不只幫忙把食物準備好、人還自動消失(其實是去加班)，超級貼心


這絕對是收了什麼好處的吧！？








已經微醺的怜奈美沒想太多，問起大家的平安夜如何渡過

小美代表示


除此之外，她們還看到班上的女學生一個個都在上傳cosplay相片、不亦樂乎

怜奈美就又開始碎碎念了

然而猛然間，她察覺自己該不會其實是在嫉妒


於是就叫伊胡里去拿她們事先說好要買的cosplay服








其實就只是普通的健全聖誕服而已，大家穿起來都很可愛


然而小美代說溜嘴，說她自己也有一套，讓怜奈美直接往主臥房走去突襲

小美代腦中想起自己穿著那套cosplay服時(就是昨天)，到底都做了哪些事.....


最後怜奈美對小美代的私藏聖誕服很滿意

然而一個不注意，底下又掉出一套謎之成對的夫妻內褲


幸好小美代手腳快，趕快把原味內褲都藏起來








回到客廳，伊胡里已經睡癱了


把她挖起來後，女孩們享受了充實又快樂的女士聖誕夜










直到隔天，伊胡里又在群組重砲狙擊w

怜奈美：J啥？


















媽的！又偷做菜！


欸幹不對啊，人家人妻是光明正大做菜的欸！！


而且師丈做完菜隔天還幫大家做菜(物理)！！


笹舟美代香，你、你...你這個....









--
她或許搞砸大小差事，但有件事卻唯有她能做到:
「每天都如此真誠而發自內心地歡笑」
我願信奉這 用全世界才智也換不來的樂天、純真、坦然
我願信奉阿克婭大人，我以身為阿克西斯教徒為榮

--
",I don't know what you are talking about.
[閒聊] 替身叫O I Want For Xmas Is U會有啥能力,"今天是一年一度的聖誕節

不過瑪麗亞凱莉早在幾個禮拜前

就開始在洗大家的腦了

這首歌從1994年發行

算起來也已經聖誕洗腦洗了29年

這種功力拿來當作替身名字的話

應該會比天堂製造還強吧

如果替身叫All I Want For Christmas Is You會有什麼能力？

是不是跟增幅過的X教授一樣全地球心控？

--
",I don't know what you are talking about.
[龍拼] 山本大介 裏億兆通關,"
山本大介
@DaikeYamamoto
おはようございます
裏億兆クリア！やったぜ



自己出的高難挑戰 自己示範過關！
有會親自玩遊戲的製作人
龍拼玩家真是太幸福了呢～

那麼 這個三美鋼 要去哪裡領呢...?

--
",I don't know what you are talking about.
[閒聊] 一開始的藍白絕對強過後來的紅白吧,"大家聖誕節快樂

有一起在巴尼陣亡紀念日複習0080口袋中的戰爭來弔念嗎


突然想到NT-1除了我們熟知的藍白配色以外

之後的MSV設定中還揭露了紅白配色的NT-1原型機

RX-78NT-1 鋼彈 NT-1 原型機
出自雜誌《Model Graphix》1989年11月號由機械設計師明貴美加發表的原創配色, 此機被
設定為鋼彈 NT-1 被送往 SIDE6 殖民地後, 奧古斯塔研究所為蒐集機體資料而建造的實用
試驗機, 其規格與鋼彈 NT-1 完全相同, 但為了讓人混淆外觀而將機體塗裝成和 RGM-79 吉
姆相似的配色


同樣也有配有喬巴姆裝甲


相較下來藍白配色是不是好的多了, 肯定強過綠色的薩克II改
可以讓吉翁軍聯想到聞風喪膽的白色惡魔, 而不是紅白配色的雜魚吉姆

大家怎麼看?


--
",I don't know what you are talking about.
[閒聊] 病嬌跟溫柔AZKi  喜歡哪個？,"最可愛的
百鬼大小姐
昨天的AR Live又是超級可愛
她看自己的劇情還害羞的躲起來XDD
不過看別人的就很嗨
可愛的宇佐美瑞希
她連載了這麼久
還真的都沒有在過節日的XD
美術社宇宙可能跟我們不一樣

大家都喜歡的
AZKi
昨晚的重頭戲就是她的ASMR！
先是來病嬌劇本
她開口那超冰冷的口氣所有觀眾都嚇到XD
劇本寫的超病又很適合她
真的是把男友動向全都抓死死的病嬌女友
可是卻莫名真的感覺不想離開她！？
會限才回到平常的AZKi
開場就笑大家剛剛是不是做惡夢了XD
會限的AZKi就溫柔又甜蜜了
不過這場器材有問題一直攻擊耳膜
觀眾都在笑是病嬌AZKi壓不住了XDD

大家老實說
AZKi
@LOELgoodspring
大家覺得喜歡病嬌還是溫柔的AZKi？

病嬌這場
真的一定要聽！！


--
",I don't know what you are talking about.
Re: [情報] Alphamax 春日野穹 浴衣Ver. 近期預約,"



單馬尾好奇怪喔

10.5cm

22000日圓

2024/05


--
",I don't know what you are talking about.
[閒聊] 現在的迪士尼會怎麼拍間諜家家酒？,"


前陣子星願跟間諜家家酒合作出了個宣傳影片

不禁讓人好奇

要是讓現在的迪士尼來拍間諜家家酒的話

會做出哪些有趣且富有意義的小更動呢？

--
XTrinity

--
",I don't know what you are talking about.
[閒聊] 聖誕老人送禮物給乖小孩,"
今年有沒有當個好孩子呢？







好孩子才會有禮物喔！




我逐漸理解一切







-----
Sent from JPTT on my iPhone

--
",I don't know what you are talking about.
Re: [閒聊] 白蓮教的教主是怎麼讓信眾義無反顧啊？,"其實古代這種造反教
常常都只有一個地區一小搓人

但拉起一小群人之後
會到處搞破壞

賊寇四處流竄

經過一個地方就砸爛  搶光燒光
把那個地方搞臭 破壞

原本那邊的人過得好好的
也會被一起搞臭
活不下去只好一起反  被裹挾

然後就跟雪球一樣越滾越多

原本問題可能沒那麼嚴重

反賊到處亂搞搞到一片糜爛

造反教常常才是真亂源


※ 引述《SweetRice (米唐)》之銘言
: 其實不用在意白蓮教
: 你讓百姓過上好日子
: 老百姓自己就會忘記白蓮教
: 可是如果一天不如一天
: 買不起房
: 結不起婚
: 生不了小孩
: 老百姓就會自發地去教堂門口排隊
: 把心裡的委屈說給教主聽


--
",I don't know what you are talking about.
[閒聊] 高齡化後的異常成年單身男性的平安夜,"
Up主：從那個時候開始就一直停止不變。


—————


這哪有很異常….慶生不也都這樣嗎



….


….


…


對吧？(O_o)



大多宅宅會變得應該只有老婆而已（喂

--
",I don't know what you are talking about.
[創作] 杏仁ミル 聖誕短動畫,"畫了一個小小短動畫，聖誕快樂各位!






現在都在這，歡迎追隨
推特: https://twitter.com/Prayblessingtw

--



--
",I don't know what you are talking about.
[僧煩] 聖誕節,"

「好吧，看樣子，今年不會出現呢。」

-----
Sent from JPTT on my iPhone

--
我的廢文 我的做人
我發廢文坦蕩蕩

--
",I don't know what you are talking about.
[閒聊] 小說 機動戰士鋼彈SEED FREEDOM,"上卷 2024/1/30發售


上卷封面

--
",I don't know what you are talking about.
Re: [哥殺] 救回來的冒險者懷孕了怎麼辦 ,"其實這些哥布林根本就是異形吧

搞不好哥布林根本沒有讓女性受孕 而是把胚胎透過懶覺狀的輸卵管植入母體完成寄生行為

哥布林胚胎也跟異型胚胎一樣會吸收部分母體的遺傳因子 但產出來的東西依舊是哥布林

差別只在於異型胚胎直接寄生在胸口 所以破胸之後宿主就直接死了

不過哥布林把寄生點選在女性子宮 能讓母體作為可重複使用的宿主 不會生一次就把母體宰掉 這方面哥布林進化的還比較完整

另一個差別是異形的寄生還要透過抱臉蟲 不過他們的異型卵可以在極端環境上保存很長的時間 而哥布林的寄生裝置直接就長在自己身上了 這邊很難說孰優孰劣

其他寄生模式就都差不多了 這些哥布林絕對就是異型吧==

--

--
",I don't know what you are talking about.
Re: [閒聊] JK大車隊,"※ 引述 《magicalwind (三玖軍總司令)》 之銘言：
: 　
: ※ 引述 《magicalwind (三玖軍總司令)》 之銘言：
: : 　
: : ※ 引述 《chshsnail (廢柴大叔蝸牛)》 之銘言：
: : : 　
: : : ※ 引述《magicalwind (三玖軍總司令)》之銘言：
: : : : https://i.imgur.com/PlKhfqO.jpg
: : : : 正太手機壞了要去修理
: : : : 大姐姐現在沒事 陪你一起去吧
: : : : 上次買遊戲機 這次是修手機嗎
: : : 　
: : : https://twitter.com/_skyfreedom_/status/1731565919686869496
: : : https://i.imgur.com/JpikKt0.png
: : : 　
: : : 小正太因為考量預算關係所以打算拿去修
: : : 　
: : : 結果大姊姊說如果幫她一個忙就送一支新手機給他
: : : 　
: : : 　
: : : 　
: : : 　
: : : 　
: : : 小心啊!!!她這是要騙你尿尿的地方!!!
: : https://i.imgur.com/ZSChVow.jpg
: : 大姐姐最近有點困擾
: : 需要弟弟你的幫忙呢
: : 有關欸取的事情哦
: : 　
: : 大學姐連演都不演
: : 直上撞車宣言
: : 小車 危
: https://i.imgur.com/CxASCur.jpg
: 過渡回
: 大小車衝出邊坡
: 　
: 右下角包包頭XD
: 　

大車學姊彈出超大安全氣囊
這連身洋裝有夠色
--
",I don't know what you are talking about.
[討論] 天賜技能無限扭蛋 4,"
原標題太長了
直接縮減成這樣

東立出的速度還蠻快的，大概每三到四個月一本吧
日本那邊現在是八集

第四集分成兩部份

第一部份主要是萊特剛召喚出梅伊，以及在奈落最底層建立據點的過程

大概重點有：
1. 梅伊誘導萊特，兩人天天一起泡澡

2. 萊特有抽出許多高階卡，但自己等級還不夠，高等的還只有梅伊
據點也還沒建立，所以都沒有顯現出來

3. 梅伊認為世間所謂的等級限制應該只是因為升等時的超高經驗值門檻
而人族到達這個門檻所在的等級比較低，所以其他種族就認為人族很廢

4. 萊特剛開始是由梅伊先將魔物綑綁，由萊特丟石頭K，藉此取得經驗值升等

5. 萊特初期的武術等是由梅伊手把手教導，後來才由其他9999等的教導

6. 萊特在4000等時去挑戰奈落的迷宮主，等級有5000，打敗迷宮主

7. 打敗迷宮主取得迷宮核後，才召喚出第二個9999的禁忌魔女艾莉來解析迷宮核

8. 打造奈落的王座之間時，原本部下預定要做個3米高的萊特像放在王座後面
萊特少見的動用命令，下令移除，改由旗幟取代



第二部份接續第三集的後面
發現萊特的妹妹小夢在人族的王女那邊當實習女僕
萊特打算將小夢接過來，因此計畫與王女見面

大概重點有：
1. 艾莉從小夢的記憶中推測當時襲擊村莊兇手，應該是人族，但等級高達9000

2. 小夢與大哥當時是逃跑時掉入河中，小夢被王女發現，大哥可能是漂到下游

3. 萊特主要目的是接小夢過來，但擔心會被人發現之間的關係
所以以巨塔魔女的名義約王女過來巨塔這邊參觀，但故意找理由要小夢陪同

4. 之前都提到萊特使用密技來讓他的無限扭蛋技能自動運行
這集說穿了，就是轉出有製造分身能力的卡片，因為是連技能都可複製但能力較低
由分身24小時不停轉蛋

5. 利用這個分身卡片讓小夢也做出分身，本尊留在奈落

6. 萊特與王女私下會面，萊特跟王女說明他的目的，因為商談時間會很久
王女也用分身卡片留在奈落，不過討論結束後回去人族國家

7. 萊特送給王女一推高等級卡片以及大量金幣，金幣暫存在商人那邊

8. 人族國家的國王是由其他種族投票決定，王女想要當下期國王
萊特決定幫忙，要拉攏其他種族，妖精女王國那邊已不是問題

9. 黑暗妖精那邊的後續，黑暗妖精四大家族族長想要暗殺巨塔魔女
當然被反殺，四大家族族長都被替換

10. 下個目標是鎖定鄰境的矮人族



這部的網路版竟沒人翻譯，只有東立的繁體小說版可買

歡迎知道後續的雷我

--
",I don't know what you are talking about.
[Vtub] neuro的烤肉怎麼偏少,"烤肉看完了

現在在看直播

但英文看不太懂

看神經大人一直嗆老爸到他啞口無言好有趣

聊天室一直KEKW

哪裡有更多的切片烤肉啊

這種一直講卻很多內容感覺可以上很多片啊

--
",I don't know what you are talking about.
[Vtub] 星街一張,"
幹ㄙ...ㄜ...幹 先不要

我看妖怪推特十二月好像也沒合作啊

這圖什麼意思

合作預告？

--
",I don't know what you are talking about.
[問題] 今天12/25是什麼日子？,"發生的事還真多啊
希望過節的各位引以為戒
有沒有掛
 https://i.imgur.com/uEIDVRJ.jpg
----
Sent from BePTT

--
",I don't know what you are talking about.
[情報] 桃太郎電鐵世界新作銷量突破1百萬套,"由於原文太長，修改了一下。原文標題《桃太郎電鐵世界～地球圍繞著希望轉動！～》銷
售量達一百萬套。

這系列在日本真的超強，是除了任天堂外少數可以破百萬的IP。

消息來源：https://home.gamer.com.tw/artwork.php?sn=5852833

  由Konami在Switch平台上發售的《桃太郎電鐵世界～地球圍繞著希望轉動！～》，官方
宣佈遊戲銷售量達1百萬套。同時也在官方X上宣布前作《桃太郎電鐵 ～昭和 平成 令和
也是基本款！～》銷售量累積至4百萬套囉。

  《桃太郎電鐵世界》系列是日本的大富翁遊戲，玩家要經營鐵道成為日本第一的大富豪
。本次的舞台延伸到世界五大洲，讓玩家有更廣大的世界地圖可以選擇，同時也會有當地
的歷史人物登場，協助玩家喔。

  《桃太郎電鐵世界～地球圍繞著希望轉動！～》於11/16在Switch平台上好評發售。

--
",I don't know what you are talking about.
Re: [BGD] mygo祥子cp圖貼貼,"聖誕節真的好強
正在考慮是不是祥子單獨拆一篇

初祥

睦祥
【睦祥手書】ちょっかい問題

睦祥初

喵祥

燈祥

愛祥燈(羽丘1年級組)

Ave Mujica

其他雜圖
等等，你們兩個人有在聽嗎

--
睦祥聖誕節活動(微博)

--
",I don't know what you are talking about.
[ＳＣ] 今天是283雙子 甜花跟甘奈的生日喔,"聖誕快樂

and

生日快樂



















生日快樂

甜花、甘奈

姊姊妹妹都超可愛的











題外話啊

我覺得要攻略大崎家的正確方式就是""我全都要""

只喜歡甜花或甘奈其中一個是不行的

她們兩個在一起才是最強的

只選一個都會走入BE 大崎姊妹就該是全都要

一家人就是該整整齊齊的


--
",I don't know what you are talking about.
[閒聊] Miko是不是一個好前輩?,"Miko

有馬紀念中了七十萬回本後

拿出84萬日當聖誕人想送同事禮物

雖然這也都是意外之財

但是願意拿出一筆錢這樣送給同事後輩 真的超級好

大家開開玩笑做作效果

一個人基本上還是送了平均兩萬日的禮物

大概也有四五千塊

講真的要你送公司後輩送四五千塊的聖誕禮物

哪怕是你中了大獎也不一定願意吧

原本還真打算送音乃瀬奏一組要價台幣一萬二千多的錄音介面


這樣的miko

是不是一個好前輩?

--
",I don't know what you are talking about.
[閒聊] 要怎麼對付會吸能量的對手？,"
幽遊白書四聖獸白虎

七龍珠普烏篇那個名字忘的

遇到這種吸收系的解法是繼續餵他能量把他灌爆


啊那靈力或是氣不足的怎麼辦？

或是對方不跟你囉唆，此消彼長直接打爆你怎麼辦？


有其他破解方法嗎？


--
",I don't know what you are talking about.
[閒聊] 你跟我說這是宿儺的手指?,"虎杖是怎麼吞這麼大一根的
大家覺得還有什麼食物可以跟咒術聯名?
-----
Sent from MeowPtt on my iPhone


--
",I don't know what you are talking about.
[閒聊] 真的能接受拆祖厝嗎,"說的是鋼鍊啦

艾力克兄弟出發前一把火把老家燒了
既是讓自己沒有退路
返鄉也能順理成章跟溫莉同居

巨人裡主席的房子倒是被拆得差不多了
但地下室還是埋著重要的東西

從小紮根長大的建物，對於一個人來說應該還是滿重要的
不過也不是不能理解矮豆，在那棟房子可能怎麼樣都睡不好

大家是矮豆的話會拆嗎

--
",I don't know what you are talking about.
[問題] 誰能跟我講一下為什麼鼠神將人氣高成這樣,"

昨天看GBF FES

感覺營運除了有意把天空藍系列拿出來炒冷飯

另外就是很大力的強推碧卡拉，連播工作人員清單時都有鼠耳在晃來晃去

號稱鼠年之後，年年都是鼠年

幾乎是看板娘待遇


我入坑也有一陣子了

把人設左看右看 實在不知道為什麼人氣硬是能壓過其他神將一截

身材不突出，性格又內向的普妹

大概就戴上耳朵會變身成陽角這點比較有梗


...恩? 這樣就能打到點嗎?

還是有什麼我沒注意到的地方咧

--

雀食

--
",I don't know what you are talking about.
[閒聊] 長門有希意外的很像楊丞琳,"
妾
文思泉湧
剛好想到
具有知性美的女配角
長門有希
她的氣質、冷靜、眼鏡形象
意外的與知名女星楊丞琳
十分神似
簡直如出一轍
令我非常震驚
難道長門有希算動漫界的楊丞琳嗎！
如何？

--
",I don't know what you are talking about.
[愉悅] 凜 這是我送你的聖誕禮物,"
誰送誰被捅！

--

--
",I don't know what you are talking about.
[閒聊] 巴尼不反抗就不會死了吧,"

明明聯邦拳頭這麼大

吉翁就是個鼻屎大的殖民地
還一直挑釁聯邦

如果當初吉翁公國大家一起投降

跟聯邦合作賺大錢

不是巴尼就不用死了嗎

--
",I don't know what you are talking about.
[閒聊] 湖池屋 推出「海德林飛踢蠻神」洋芋片,"
舔地板法式清湯口味

「舔地板法式清湯口味」聯名洋芋片預計在 1/10 中午 12 點（日本時間）起開賣，一份售價為 1,980（含稅）日圓，內含六包洋芋片（三種包裝）

-----
Sent from JPTT on my iPhone

--
",I don't know what you are talking about.
[蔚藍] 佩洛洛大人牠........,"昨天公布的可變形產品

給昨天沒看生放送的老師
這東西是這樣變形的



所以就有了下面的創作......



--------

--
",I don't know what you are talking about.
[問題] 有沒有信賴清朝、忠心耿耿的動畫角色啊,"乳提

最近看藥師少女的獨語 被可愛貓貓萌到惹

可是看這種架空中國風就不太過癮

本肥宅想看 那種改寫清朝歷史der

都說清朝末期 腐敗無能 朝廷缺德不仁 革命聲四起

有沒有這種缺德不仁的朝廷下 還忠心護主的動漫角色啊

這種人想必也是很掙扎矛盾

跟魯魯修前期的朱雀一樣

想著進去體制裡改變國家 但只能對腐敗視若無睹

然後抓著想要革命的勢力打 說著為惹我大清之類的

想想就是個可愛迷人的反派角色 讚捏

有沒有這樣的作品跟角色啊？

對啊

--
",I don't know what you are talking about.
[Holo] 角卷綿芽給綿友帶來了聖誕禮物,"
角卷綿芽給綿友帶來禮物囉！

就是綿芽自己 >D<
@shibakarenasu

這樣打扮很可愛吧～
@nekomarunekoko

一起享用豐盛大餐！
Yummy yummy! 連窗外的獅白都流口水了呢～
@F_mmmnkm_paint

吃飽飯之後，在綿芽懷中，聽著她雜談
@WDKURAGE

夜漸漸深了

睡覺前，是不是還有一件事情忘了？
@tsuna_tsu7

還沒有吃聖誕夜的夜點呢！
@yumin86mochi

在那之前，一起洗澡澡吧
@CARMEN_KIRUYA

洗完澡後

綿芽也興奮地流出綿芽汁了
@ito_egumu_edo

之後就是○的六小時 >/////<


今天晚上8:20pm 綿芽將為大家獻唱喔！
わためりークリスマス！Singing Stream！
Link: https://youtu.be/pyHlVmSZMNs

讓綿芽在聖誕節把喜悅帶給你們吧～^^
@nyas0123

@kazuhane2

@mahiru_yoruno

@nns_99_

--
角卷綿芽Line貼圖上市囉～
24種可愛貼圖，只要30元！
購買連結：https://t.co/lNGU5jN7b2

--
",I don't know what you are talking about.
[閒聊] River漫畫 點穴,"[River's 543+] 點穴

本來想附示意圖的，想想還是算了

過勞死 (2003)

不用學北斗神拳點穴也能達到秘孔的功效


北斗有情破顏拳

--
",I don't know what you are talking about.
[閒聊] 凜，這是我送妳的聖誕禮物,"【聖誕節快樂，凜，這是我送你的禮物】

＼Azoth劍／

--
",I don't know what you are talking about.
[閒聊] 現在美軍還能造船像下水餃嗎？,"乳體

珍珠港偷襲之後，美軍宣布加入ww2，接著全力投入造艦，三年時間造出了124艘輕型航母
、24艘大型航母，還有中小型戰艦近5000艘。

如果現在又有人偷襲美國重要軍港，擊毀大多數美軍艦艇，還有辦法這麼快的下水餃嗎？

畢竟現實不是 戰艦世界吧？


--
",I don't know what you are talking about.
[悲報] 帶人偶老婆出門 海邊拍照時被老鷹抓走了,"
日本人偶玩家「翠騎（すいき）」

日前帶著自己的人偶老婆「娜娜」到海邊拍照

卻突然出現一隻老鷹 把娜娜抓走了

娜娜已經陪在他身邊16年了

現在只剩下一隻腳

他在推特上發佈協尋公告

希望如果有人撿到可以聯絡他 即使只是碎片也沒關係


心得：太慘了 痛失老婆

--
",I don't know what you are talking about.
[閒聊] 織田信長有想要廢除日本天皇?,"大家都玩過信長之野望
鐵砲隊殺起來很爽

雖說天下三人來講
織田信長是最出格的
流放幕府將軍以下犯上
火燒比壑山成為佛敵

思想過於前衛
甚至有朝廷黑手煽動明智叛變一說

但回頭想想
織田作這些事都有情勢緊急之由
無代無誌也不會自找麻煩

換成中國
早就幾人稱帝幾人稱王
但日本天皇萬世一系
織田真的有這動機嗎


--
",I don't know what you are talking about.
[閒聊] 聖誕節哪個最悲慘,"
如題

神奈川電視台的北歐船




自爆五小強的 聖誕節加班



阿爾 不要去怨恨任何人



桐人聖誕快樂




昨天晚上又把0080拿出來複習

還是看到哭出來

巴尼 任務結束了 不需要戰鬥了

--
",I don't know what you are talking about.
